,input,target
144, Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today . ,Thus I agree wholeheartedly with the above : in twenty years there will be fewer cars in use than there are today . 
145, Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today . ,"Thus , in concordance with the above , I agree wholeheartedly that in twenty years there will be fewer cars in use than there are today . "
146, Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today . ,"Thus in concordance with the above , I agree wholeheartedly that in twenty years there will be fewer cars in use than there are today . "
147, Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today . ,Thus in accordance with the above I agree wholeheartedly that in twenty years there will be fewer cars in use than there are today . 
148, Third the butt it in hte front of the door of store to make the poeple see it even if it is not good ,"Third , put it in the front of the door of the store so people see it , even if it is not good . "
149, Third the butt it in hte front of the door of store to make the poeple see it even if it is not good ,"Third , they put it in front of the door of the store so that people will see it even if it is no good . "
150, Third the butt it in hte front of the door of store to make the poeple see it even if it is not good ,"Third , they put it in front of the door of the store to make the people see it , even if it is not good . "
151, Third the butt it in hte front of the door of store to make the poeple see it even if it is not good ,"Third , the butt in the front of the door of the store to make the people see it even if it is not good . "
152," However , are these things all good to people ? ","However , are these things good to all people ? "
153," However , are these things all good to people ? ","However , are all these things good for people ? "
154," However , are these things all good to people ? ","However , are these things all good for people ? "
155," However , are these things all good to people ? ","However , are these things all good to people ? "
156, Very soon they will run out at the current rate of utilisation . ,They will run out very soon at the current rate of utilization . 
157, Very soon they will run out at the current rate of utilisation . ,"Soon they will run out , based on the current rate of utilization . "
158, Very soon they will run out at the current rate of utilisation . ,Very soon they will run out at the current rate of utilization . 
159, Very soon they will run out at the current rate of utilisation . ,Very soon they will run out at the current rate of utilization . 
160," In the lecture , however , professor oppose the reading statement . ","In the lecture , however , the professor opposed reading the statement . "
161," In the lecture , however , professor oppose the reading statement . ","In the lecture , however , the professor opposed the statement in the reading . "
162," In the lecture , however , professor oppose the reading statement . ","In the lecture , however , the professor opposed the reading statement . "
163," In the lecture , however , professor oppose the reading statement . ","In the lecture , however , the professor opposed the reading statement . "
164, But YOU have to create these opportunities . ,You have to create these opportunities . 
165, But YOU have to create these opportunities . ,But YOU have to create these opportunities . 
166, But YOU have to create these opportunities . ,But YOU have to create these opportunities . 
167, But YOU have to create these opportunities . ,But YOU have to create these opportunities . 
168, Throughts our lives needs talk about our familys . ,"Throughout our lives , we need to talk about our families . "
169, Throughts our lives needs talk about our familys . ,"Throughout our lives , we need to talk about our families . "
170, Throughts our lives needs talk about our familys . ,Throughout our lives we needs talk about our families . 
171, Throughts our lives needs talk about our familys . ,Throughout our lives we need to talk about our families . 
172, They try new things . ,They try new things . 
173, They try new things . ,They try new things . 
174, They try new things . ,They try new things . 
175, They try new things . ,They try new things . 
176," Inorder to do this , they would need to learn additionally skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . ","In order to do this , they would need to learn additional skills , either theoretical or practical , that would increase their understanding and application of their chosen subject . "
177," Inorder to do this , they would need to learn additionally skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . ","In order to do this , they would need to learn additional skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . "
178," Inorder to do this , they would need to learn additionally skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . ","In order to do this , they need to learn additional skills , either theoretical or practical , that will increase their understanding and the future application of their chosen subjects . "
179," Inorder to do this , they would need to learn additionally skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . ","In order to do this , they would need to learn additionally skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . "
180, if you want a product you give create a beautiful image around it if you want sell it . ,if you want to develop a product you create a beautiful image around it if you want sell it . 
181, if you want a product you give create a beautiful image around it if you want sell it . ,"If you want to sell a product , you must create a beautiful image around it . "
182, if you want a product you give create a beautiful image around it if you want sell it . ,"If you want to sell a product , you create a beautiful image around it . "
183, if you want a product you give create a beautiful image around it if you want sell it . ,"If you want a product , you give a create a beautiful image around it if you want sell it . "
184, Secondly the place of the film must must be very clear and chir must be relax etc . ,"Secondly , the location of the film must must be very clear and the director must be relaxed , etc . "
185, Secondly the place of the film must must be very clear and chir must be relax etc . ,"Second , the place that is being filmed must be very clear and the chin must be relaxed , etc . "
186, Secondly the place of the film must must be very clear and chir must be relax etc . ,"Secondly , the place of the film must be very clear and chaimust be relax etc . "
187, Secondly the place of the film must must be very clear and chir must be relax etc . ,"Secondly , the place of the film must must be very clear and have chairs to relax , etc . "
188, and will put you maind on a non-stop learning ... ,And it will put your mind into non-stop learning . 
189, and will put you maind on a non-stop learning ... ,And will put your mind on a non-stop learning ... 
190, and will put you maind on a non-stop learning ... ,This will help you put your mind on non-stop learning . 
191, and will put you maind on a non-stop learning ... ,And will put your mind on a non-stop learning ... 
192, this will the proof of speeding offense so that polices can easily catch them. . ,This will prove the speeding offense so that the police can easily catch them . 
193, this will the proof of speeding offense so that polices can easily catch them. . ,This will be the proof of speeding offense so that the police can easily catch them . 
194, this will the proof of speeding offense so that polices can easily catch them. . ,This will be the proof of the speeding offense so that the police can easily catch them . 
195, this will the proof of speeding offense so that polices can easily catch them. . ,This will be the proof of the speeding offense so that the police can easily catch them . 
196, In today 's Compuer skill is first important life skill . ,In today 's world Computer skills are the first important life skill . 
197, In today 's Compuer skill is first important life skill . ,"Today , computer skills are the most important life skill . "
